scheme,n_lora,n_requests,n_tokens,elapsed_s,tps,rps
sequential,1,1,32,1.75493,18.2344,0.569824
batch_unfused,1,1,32,1.33553,23.9606,0.748768
batch_grouped,1,1,32,1.25302,25.5383,0.798072
sequential,2,2,64,2.85085,22.4495,0.701545
batch_unfused,2,2,64,1.81304,35.2999,1.10312
batch_grouped,2,2,64,1.86725,34.275,1.07109
sequential,3,3,96,4.36478,21.9942,0.68732
batch_unfused,3,3,96,2.54904,37.6612,1.17691
batch_grouped,3,3,96,2.46167,38.9979,1.21869
sequential,4,4,128,5.87425,21.79,0.680939
batch_unfused,4,4,128,3.1374,40.7981,1.27494
batch_grouped,4,4,128,3.0917,41.4012,1.29379
sequential,5,5,160,7.27761,21.9852,0.687039
batch_unfused,5,5,160,3.70873,43.1414,1.34817
batch_grouped,5,5,160,3.3984,47.081,1.47128
sequential,6,6,192,8.49209,22.6093,0.70654
batch_unfused,6,6,192,4.35763,44.0607,1.3769
batch_grouped,6,6,192,4.00044,47.9947,1.49983
sequential,7,7,224,9.78109,22.9013,0.715667
batch_unfused,7,7,224,5.04489,44.4014,1.38754
batch_grouped,7,7,224,4.50803,49.6891,1.55279
sequential,8,8,256,11.3824,22.4908,0.702838
batch_unfused,8,8,256,5.65195,45.2941,1.41544
batch_grouped,8,8,256,5.15316,49.6782,1.55245
sequential,9,9,288,12.7236,22.6351,0.707347
batch_unfused,9,9,288,9.43921,30.511,0.95347
batch_grouped,9,9,288,8.36092,34.446,1.07644
sequential,10,10,320,14.1021,22.6917,0.709117
batch_unfused,10,10,320,8.79445,36.3866,1.13708
batch_grouped,10,10,320,8.02604,39.8702,1.24594
sequential,11,11,352,15.3626,22.9128,0.716026
batch_unfused,11,11,352,8.86704,39.6976,1.24055
batch_grouped,11,11,352,7.99576,44.0233,1.37573
sequential,12,12,384,16.9274,22.6851,0.70891
batch_unfused,12,12,384,9.10287,42.1845,1.31826
batch_grouped,12,12,384,8.20355,46.809,1.46278
sequential,13,13,416,18.1595,22.9082,0.71588
batch_unfused,13,13,416,9.59975,43.3345,1.3542
batch_grouped,13,13,416,8.45064,49.2271,1.53835
sequential,14,14,448,20.2375,22.1371,0.691785
batch_unfused,14,14,448,10.1311,44.2205,1.38189
batch_grouped,14,14,448,8.76196,51.1301,1.59782
sequential,15,15,480,20.8759,22.993,0.71853
batch_unfused,15,15,480,10.5468,45.5113,1.42223
batch_grouped,15,15,480,9.3568,51.2996,1.60311
